"InstTerm","ADCGradTerm","ADCPersonID","ADCGradAcadProgram","GradProg","GradCert","CIPCode2010","InstCountry","InstState","InstShortName"
201601,2016SP,6521849,A25450,A25450,,50.0411,US,NC,CPCC
201601,2016SP,6521809,A30180,A30180,,50.0409,US,NC,CPCC
201601,2016SP,6521135,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6521428,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6521599,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016SP,6526811,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6526704,C4538EC5,C4538E,C5,51.1501,US,NC,CPCC
201601,2016SP,6524894,A45720,A45720,,51.0908,US,NC,CPCC
201601,2016SP,6524478,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6529812,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6529169,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6529629,A60160,A60160,,47.0604,US,NC,CPCC
201601,2016SP,6529778,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6529701,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6529217,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6522732,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6525820,A55140,A55140,,12.0401,US,NC,CPCC
201601,2016SP,6525660,A45420,A45420,,51.1004,US,NC,CPCC
201601,2016SP,6525770,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6525537,A45720,A45720,,51.0908,US,NC,CPCC
201601,2016SP,6520340,A45110,A45110,,51.3801,US,NC,CPCC
201601,2016SP,6520118,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6520985,A30220,A30220,,50.0408,US,NC,CPCC
201601,2016SP,6520225,A55150,A55150,,12.0503,US,NC,CPCC
201601,2016SP,6520531,A25450,A25450,,50.0411,US,NC,CPCC
201601,2016SP,6520518,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6520034,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6553616,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6553718,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6553991,A55180,A55180,,43.0104,US,NC,CPCC
201601,2016SP,6558369,A45640,A45640,,51.0806,US,NC,CPCC
201601,2016SP,6558789,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6551851,A45260,A45260,,51.0602,US,NC,CPCC
201601,2016SP,6551177,A25310,A25310,,51.0705,US,NC,CPCC
201601,2016SP,6551177,A2537A,A2537A,,22.0301,US,NC,CPCC
201601,2016SP,6551635,C40370C1,C40370,C1,15.0503,US,NC,CPCC
201601,2016SP,6551243,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6556808,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6556778,A55140,A55140,,12.0401,US,NC,CPCC
201601,2016SP,6556723,A45420,A45420,,51.1004,US,NC,CPCC
201601,2016SP,6556979,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6556242,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6556563,A25450,A25450,,50.0411,US,NC,CPCC
201601,2016SP,6556008,A45720,A45720,,51.0908,US,NC,CPCC
201601,2016SP,6557346,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6557834,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6557143,A2512C,A2512C,,52.1001,US,NC,CPCC
201601,2016SP,6557143,C2512011,C25120,11,52.0201,US,NC,CPCC
201601,2016SP,6557143,C25120C5,C25120,C5,52.0201,US,NC,CPCC
201601,2016SP,6557669,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016SP,6557082,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016SP,6554362,A45420,A45420,,51.1004,US,NC,CPCC
201601,2016SP,6554141,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6554645,A10400B,A10400,B,24.0101,US,NC,CPCC
201601,2016SP,6554659,A45420,A45420,,51.1004,US,NC,CPCC
201601,2016SP,6554206,A60160,A60160,,47.0604,US,NC,CPCC
201601,2016SP,6554033,A60160,A60160,,47.0604,US,NC,CPCC
201601,2016SP,6554035,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,6554024,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6559340,A55140,A55140,,12.0401,US,NC,CPCC
201601,2016SP,6559398,A45400,A45400,,51.0801,US,NC,CPCC
201601,2016CE1,6559677,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6559704,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6559443,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016SP,6559239,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6552378,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6552830,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6552477,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6552474,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6552456,C25500C8,C25500,C8,52.1203,US,NC,CPCC
201601,2016SP,6552919,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6555728,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6555517,A45110,A45110,,51.3801,US,NC,CPCC
201601,2016SP,6550138,A55220,A55220,,13.1210,US,NC,CPCC
201601,2016SP,6550152,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6550103,A25380,A25380,,22.0302,US,NC,CPCC
201601,2016SP,6550690,A60460,A60460,,47.0613,US,NC,CPCC
201601,2016SP,6550690,C60460C3,C60460,C3,47.0613,US,NC,CPCC
201601,2016SP,6550690,C60460C4,C60460,C4,47.0613,US,NC,CPCC
201601,2016SP,6550690,C60460C5,C60460,C5,47.0613,US,NC,CPCC
201601,2016SP,6550603,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6550608,A45740,A45740,,51.0909,US,NC,CPCC
201601,2016SP,6550027,A10100,A10100,,24.0101,US,NC,CPCC
