2018SP,ART,115,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-04-08,11:00:00.0000000,2014-05-06,11:50:00.0000000,W,MC,003,352,CLASS
2018SP,ART,115,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-04-08,11:00:00.0000000,2014-05-06,11:50:00.0000000,F,MC,003,352,CLASS
2018SP,ART,121,H01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-04-08,11:00:00.0000000,2014-05-06,11:50:00.0000000,T,MC,003,352,LAB
2018SP,ART,121,H01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-04-08,11:00:00.0000000,2014-05-06,11:50:00.0000000,TH,MC,003,352,LAB
2018SP,ART,264,HW1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-04-08,13:00:00.0000000,2014-05-06,13:50:00.0000000,M,MC,003,352,CLASS
2018SP,ART,264,HW1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-04-08,13:00:00.0000000,2014-05-06,13:50:00.0000000,W,MC,003,352,CLASS
2018SP,ART,264,HW1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-04-08,13:00:00.0000000,2014-05-06,13:50:00.0000000,F,MC,003,352,CLASS
2018SP,ART,264,IN1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-04-08,13:00:00.0000000,2014-05-06,13:50:00.0000000,T,OL,003,352,LAB
2018SP,ART,264,IN1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-04-08,13:00:00.0000000,2014-05-06,13:50:00.0000000,TH,OL,003,352,LAB
2018SP,BIO,111,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,08:00:00.0000000,2014-04-07,10:50:00.0000000,S,MC,003,352,CLASS
2018SP,BIO,111,02,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,11:00:00.0000000,2014-04-07,12:50:00.0000000,S,MC,003,352,LAB
2018SP,BIO,111,03,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-01-06,16:00:00.0000000,2014-02-03,16:50:00.0000000,M,MC,003,352,CLASS
2018SP,BIO,111,03,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-01-06,16:00:00.0000000,2014-02-03,16:50:00.0000000,W,MC,003,352,CLASS
2018SP,BIO,111,03,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-01-06,16:00:00.0000000,2014-02-03,16:50:00.0000000,F,MC,003,352,CLASS
2018SP,BIO,111,IN1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-01-06,16:00:00.0000000,2014-02-03,16:50:00.0000000,T,OL,003,352,LAB
2018SP,BIO,111,IN1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-01-06,16:00:00.0000000,2014-02-03,16:50:00.0000000,TH,OL,003,352,LAB
2018SP,BIO,111,IN2,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-02-04,12:00:00.0000000,2014-03-03,12:50:00.0000000,M,OL,003,352,CLASS
2018SP,BIO,111,IN2,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-02-04,12:00:00.0000000,2014-03-03,12:50:00.0000000,W,OL,003,352,CLASS
2018SP,BIO,111,IN2,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-02-04,12:00:00.0000000,2014-03-03,12:50:00.0000000,F,OL,003,352,CLASS
2018SP,BIO,112,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-02-04,12:00:00.0000000,2014-03-03,12:50:00.0000000,T,MC,003,352,LAB
